publisher,developers,id,app_name,price,specs,genres,early_access,tags,owners,review_score,release_date
id Software,id Software,2280,DOOM (1993),Under $10,"Single-player, Multi-player, PvP, Split Screen PvP, Co-op, Co-op, Co-op, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",Action,False,"Gore, Historical/Old-Times, 2D, Action, Difficult, Multiplayer, Unique-aspects, Shooter, High-Quality, Single-Player, Sci-fi, First Person","1,000,000 .. 2,000,000",96,2007-08
Bethesda Softworks,id Software,2270,Wolfenstein 3D,Under $10,"Single-player, Steam Cloud, Family Sharing",Action,False,"Warfare, 2D, Historical/Old-Times, Gore, Action, Difficult, Unique-aspects, Single-Player, Shooter, High-Quality, Adventure, First Person","500,000 .. 1,000,000",93,2007-08
SEGA,Relic Entertainment,9310,"Warhammer® 40,000: Dawn of War® – Winter Assault",Under $10,"Single-player, Multi-player, Family Sharing",Strategy,False,"Warfare, Historical/Old-Times, Action, Multiplayer, Sandbox/Building, Single-Player, Real-Time, Sci-fi, Strategy","200,000 .. 500,000",89,2007-08
Big Fish Games,Big Fish Games,50970,Mystery Case Files: Madame Fate®,Under $10,"Single-player, Family Sharing",Casual,False,"Puzzle, Casual","0 .. 20,000",79,2007-Winter
Cosmi Valusoft,Gamebryo,12510,Prison Tycoon 3™: Lockdown,Under $10,"Single-player, Family Sharing",Strategy,False,"Realistic/Sim, Strategy","20,000 .. 50,000",20,2008-Winter
Ziggurat,SCS Software,12530,Hunting Unlimited™ 2008,Under $10,"Single-player, Family Sharing","Action, Adventure, Strategy",False,"Adventure, Strategy, Action","20,000 .. 50,000",84,2008-Winter
Last Day of Work,Last Day of Work,16180,Virtual Villagers - The Secret City,Under $10,"Single-player, Family Sharing","Casual, Simulation",False,"Realistic/Sim, Casual","0 .. 20,000",91,2008-Spring
"PopCap Games, Inc.",SpinTop Games,3520,Mystery P.I.™ - The Vegas Heist,Under $10,"Single-player, Family Sharing",Casual,False,"Puzzle, Casual, Single-Player, Horror/Mystery","20,000 .. 50,000",81,2008-Summer
Accelerate Games,MumboJumbo,15970,Luxor,Under $10,"Single-player, Family Sharing",Casual,False,"Puzzle, Casual","20,000 .. 50,000",68,2008-Summer
Accelerate Games,MumboJumbo,15960,Little Farm,Under $10,"Single-player, Family Sharing",Casual,False,"Puzzle, Casual, Single-Player","20,000 .. 50,000",65,2008-Summer
Accelerate Games,MumboJumbo,15900,7 Wonders II,Under $10,"Single-player, Family Sharing",Casual,False,"Puzzle, Casual, Single-Player","50,000 .. 100,000",79,2008-Summer
Accelerate Games,MumboJumbo,15910,Luxor Amun Rising,Under $10,"Single-player, Family Sharing",Casual,False,"Puzzle, Casual","0 .. 20,000",73,2008-Summer
Accelerate Games,MumboJumbo,15930,Luxor 3,Under $10,"Single-player, Family Sharing",Casual,False,"Unique-aspects, Puzzle, Casual","20,000 .. 50,000",90,2008-Summer
Ubisoft,Ubisoft,15160,Petz® Horsez® 2,Under $10,"Single-player, Family Sharing",Simulation,False,"Realistic/Sim, Casual","0 .. 20,000",73,2009-08
Accelerate Games,MumboJumbo,15920,Luxor 2,Under $10,"Single-player, Family Sharing",Casual,False,"Puzzle, Casual","0 .. 20,000",41,2008-Summer
Inventive Dingo,Inventive Dingo,18600,Mayhem Intergalactic,Under $10,"Single-player, Multi-player, PvP, Online PvP, LAN PvP, Steam Achievements, Family Sharing","Indie, Strategy",False,"Indie, Warfare, 2D, Casual, Historical/Old-Times, Multiplayer, PvP, Turn-based, Unique-aspects, Sci-fi, Single-Player, High-Quality, Real-Time, Other, Strategy","50,000 .. 100,000",51,2009-Winter
Tale of Tales,Tale of Tales,27020,The Graveyard,Under $10,"Single-player, Family Sharing","Indie, Simulation",False,"Indie, Casual, Inclusivity, Horror/Mystery, Unique-aspects, Realistic/Sim, Single-Player, High-Quality, Unique-Style, Comedy","20,000 .. 50,000",60,2009-Spring
Llamasoft LTD,Llamasoft LTD,27800,Space Giraffe,Under $10,"Single-player, Family Sharing",Indie,False,"Indie, Action, Unique-aspects, Shooter, Other","20,000 .. 50,000",72,2009-Spring
InnoGlow,InnoGlow,9850,Codename: Panzers - Cold War,$10~$20,"Single-player, Multi-player, Co-op, Family Sharing","Simulation, Strategy",False,"Warfare, Historical/Old-Times, Realistic/Sim, Single-Player, High-Quality, Real-Time, Multiplayer, Strategy","50,000 .. 100,000",66,2009-Spring
Last Day of Work,Last Day of Work,16200,Virtual Families,Under $10,"Single-player, Family Sharing","Casual, Simulation",False,"Realistic/Sim, Casual","0 .. 20,000",84,2009-Spring
NovaLogic,NovaLogic,32710,Armored Fist 3,Under $10,"Single-player, Multi-player, Co-op, Family Sharing",Simulation,False,Realistic/Sim,"0 .. 20,000",75,2009-Summer
NovaLogic,NovaLogic,32740,MiG-29 Fulcrum,Under $10,"Single-player, Multi-player, Family Sharing",Simulation,False,"Realistic/Sim, Unique-Style","0 .. 20,000",87,2009-Summer
Digital Eel,Digital Eel,35800,BRAINPIPE: A Plunge to Unhumanity,Free,"Single-player, Partial controller support","Casual, Indie",False,"Indie, Casual","20,000 .. 50,000",86,2009-Summer
LucasArts,LucasArts,6010,Indiana Jones® and the Fate of Atlantis™,Under $10,"Single-player, Steam Cloud, Family Sharing",Adventure,False,"Casual, Historical/Old-Times, 2D, Action, Puzzle, Unique-aspects, Exploration, Single-Player, High-Quality, Comedy, Adventure, Story-driven","200,000 .. 500,000",94,2009-Summer
LucasArts,LucasArts,32310,Indiana Jones® and the Last Crusade™,Under $10,"Single-player, Family Sharing",Adventure,False,"Unique-aspects, Adventure, Casual, Historical/Old-Times","20,000 .. 50,000",79,2009-Summer
Game Factory Interactive,GFI Russia,35300,Warfare,Under $10,"Single-player, Family Sharing",Strategy,False,"Warfare, Strategy, Real-Time","50,000 .. 100,000",83,2009-Summer
Activision,Sierra,10100,King's Quest™ Collection,$10~$20,"Single-player, Family Sharing",Adventure,False,"Casual, Historical/Old-Times, 2D, Inclusivity, Puzzle, Unique-aspects, Fantasy, Single-Player, Adventure","100,000 .. 200,000",86,2009-Summer
Activision,Sierra,10110,Space Quest™ Collection,Under $10,"Single-player, Family Sharing",Adventure,False,"Casual, Historical/Old-Times, 2D, Difficult, Single-Player, High-Quality, Adventure, Comedy, Sci-fi, Story-driven","100,000 .. 200,000",83,2009-Summer
Activision,Artech Studios,10120,Aces of the Galaxy™,Under $10,"Single-player, Family Sharing","Action, Casual",False,"Unique-aspects, Sci-fi, Casual, Action","0 .. 20,000",45,2009-Summer
Kalypso Media Digital,PopTop Software,33520,Tropico Reloaded,Under $10,"Single-player, Family Sharing","Simulation, Strategy",False,"Historical/Old-Times, Sandbox/Building, Realistic/Sim, Single-Player, High-Quality, Real-Time, Comedy, Strategy","200,000 .. 500,000",87,2009-Summer
"PopCap Games, Inc.",SpinTop Games,3610,Mystery P.I. - Lost in Los Angeles,Under $10,"Single-player, Family Sharing",Casual,False,"Puzzle, Casual","20,000 .. 50,000",79,2009-Summer
Sakari Games,Sakari Games,36000,Foreign Legion: Buckets of Blood,Under $10,"Single-player, Steam Achievements, Partial controller support, Steam Cloud, Family Sharing","Action, Indie",False,"Indie, Casual, Gore, Third Person, Action, Shooter, Unique-Style, Comedy","100,000 .. 200,000",61,2009-08
LucasArts,BioWare,32370,STAR WARS™ Knights of the Old Republic™,Under $10,"Single-player, Steam Cloud, Family Sharing","Adventure, RPG",False,"Historical/Old-Times, Inclusivity, Third Person, Action, Turn-based, Unique-aspects, Fantasy, Exploration, Single-Player, RPG, High-Quality, Adventure, Sci-fi, Story-driven","1,000,000 .. 2,000,000",91,2009-Autumn
Interplay Inc.,Xatrix Entertainment,38430,Kingpin — Life of Crime,Under $10,"Single-player, Multi-player, Family Sharing",Action,False,"Gore, Historical/Old-Times, Action, Single-Player, Shooter, High-Quality, Multiplayer, First Person","20,000 .. 50,000",79,2009-08
Next Game,Next Game,38000,Mahjong Quest Collection,Under $10,"Single-player, Family Sharing",Casual,False,"Puzzle, Casual","0 .. 20,000",94,2009-08
Fulqrum Publishing,Unicorn Games Studio,34420,XIII Century – Gold Edition,Under $10,"Single-player, Multi-player, Steam Cloud, Includes level editor, Family Sharing",Strategy,False,"Strategy, Historical/Old-Times, Real-Time","100,000 .. 200,000",54,2009-08
HandyGames,Blue Fang,43100,World of Zoo,$10~$20,"Single-player, Family Sharing",Simulation,False,"Realistic/Sim, Casual, Single-Player, Unique-Style","50,000 .. 100,000",79,2009-Autumn
Vectorpark,Vectorpark,37600,Windosill,Under $10,"Single-player, Family Sharing","Adventure, Casual, Indie",False,"Indie, Casual, Puzzle, Unique-aspects, Single-Player, High-Quality, Unique-Style, Adventure","50,000 .. 100,000",91,2009-Autumn
Accelerate Games,MumboJumbo,32140,Midnight Mysteries,Under $10,"Single-player, Family Sharing","Adventure, Casual",False,"Adventure, Casual, Puzzle","50,000 .. 100,000",68,2009-Autumn
NovaLogic,NovaLogic,32770,Joint Operations: Combined Arms Gold,$10~$20,"Single-player, Multi-player, Co-op, Family Sharing",Action,False,"Warfare, Action, Shooter, Single-Player, Multiplayer, First Person, Co-op","20,000 .. 50,000",87,2009-Autumn
PlayFirst,PlayFirst,37300,DinerTown Tycoon,Under $10,"Single-player, Family Sharing",Simulation,False,"Realistic/Sim, Casual, Strategy","0 .. 20,000",56,2009-Autumn
Square Enix,Honeyslug,35070,Flora's Fruit Farm,Under $10,"Single-player, Family Sharing",Casual,False,Casual,"20,000 .. 50,000",52,2009-Autumn
Electronic Arts,EA Los Angeles,24800,Command & Conquer: Red Alert 3 - Uprising,Under $10,"Single-player, Family Sharing",Strategy,False,"Warfare, Historical/Old-Times, Action, Sandbox/Building, Sci-fi, Single-Player, High-Quality, Real-Time, Multiplayer, Strategy, Co-op","500,000 .. 1,000,000",84,2009-Autumn
FireFly Studios,FireFly Studios,40960,The Stronghold Collection,$10~$20,"Single-player, Multi-player, Family Sharing","Simulation, Strategy",False,"Warfare, Historical/Old-Times, Sandbox/Building, Unique-aspects, Realistic/Sim, Real-Time, Strategy, Exploration","200,000 .. 500,000",88,2009-Autumn
Ravenscourt,Animation Arts,40330,Secret Files: Tunguska,Under $1,"Single-player, Family Sharing",Adventure,False,"Casual, Inclusivity, Puzzle, Horror/Mystery, Single-Player, Adventure","100,000 .. 200,000",86,2009-Autumn
KranX Productions,Konstantin Koshutin,41100,Hammerfight,Free,Single-player,"Action, Indie",False,"Indie, 2D, Action, Difficult, Fighting, Multiplayer, Realistic/Sim, Single-Player, Other, Story-driven","200,000 .. 500,000",71,2009-Autumn
Wargaming.net,Wargaming.net,34640,Massive Assault: Phantom Renaissance,Under $10,"Single-player, Family Sharing",Strategy,False,"Strategy, Turn-based","0 .. 20,000",86,2009-Autumn
Yullaby,Yullaby,37500,Magnetis ,Under $10,"Single-player, Multi-player, Co-op, Steam Achievements, Steam Leaderboards, Family Sharing","Indie, Casual",False,"Indie, Puzzle, Casual","0 .. 20,000",80,2009-Autumn
Paradox Interactive,Crystal Empire Games,42810,For The Glory: A Europa Universalis Game,Under $10,"Single-player, Multi-player, Family Sharing",Strategy,False,"Strategy, Historical/Old-Times","50,000 .. 100,000",70,2009-Autumn
Codemasters,Triumph Studios,12710,Overlord™: Raising Hell,Under $10,"Single-player, Partial controller support, Family Sharing",RPG,False,"Third Person, Action, Story-driven, Puzzle, Fighting, Fantasy, Single-Player, RPG, High-Quality, Real-Time, Comedy, Adventure, Strategy, Exploration","500,000 .. 1,000,000",93,2008-Winter
KranX Productions,KranX Productions,29120,Yumsters 2: Around the World,Under $10,"Single-player, Family Sharing","Indie, Casual",False,"Indie, Casual","20,000 .. 50,000",65,2009-Autumn
Next Game,Hip Soft,38080,Build-A-Lot,Under $10,"Single-player, Family Sharing",Simulation,False,"Sandbox/Building, Realistic/Sim, Strategy","0 .. 20,000",93,2009-Winter
Next Game,Hip Soft,38090,Build-A-Lot 2: Town of the Year,Under $10,"Single-player, Family Sharing",Simulation,False,Realistic/Sim,"0 .. 20,000",100,2009-Winter
Next Game,Hip Soft,38100,Build-A-Lot 3: Passport to Europe,Under $10,"Single-player, Family Sharing",Simulation,False,"Sandbox/Building, Realistic/Sim","0 .. 20,000",86,2009-Winter
Next Game,Hip Soft,38110,Build-A-Lot 4: Power Source,Under $10,"Single-player, Family Sharing",Simulation,False,"Realistic/Sim, Strategy","0 .. 20,000",71,2009-Winter
Octoshark Studios,Octoshark Studios,17570,"Pirates, Vikings, and Knights II",Free,"Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Workshop, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes level editor","Action, Free to Play, Indie",False,"Indie, Historical/Old-Times, Action, Difficult, Fighting, PvP, Unique-aspects, Single-Player, Shooter, Comedy, Multiplayer, First Person","1,000,000 .. 2,000,000",87,2010-Winter
Next Game,Alawar,38130,Farm Frenzy 2,Under $10,"Single-player, Family Sharing",Casual,False,"Casual, Strategy","0 .. 20,000",97,2010-Winter
Next Game,Alawar,38160,Farm Frenzy 3: American Pie,Under $10,"Single-player, Family Sharing",Casual,False,Casual,"0 .. 20,000",100,2010-Winter
Next Game,Alawar,38150,Farm Frenzy 3,Under $10,"Single-player, Family Sharing",Casual,False,"Puzzle, Casual, Strategy","20,000 .. 50,000",95,2010-Winter
Next Game,Alawar,38120,Farm Frenzy,Under $10,"Single-player, Family Sharing",Casual,False,"Casual, Strategy","0 .. 20,000",96,2010-Winter
Next Game,Alawar,38140,Farm Frenzy: Pizza Party,Under $10,"Single-player, Family Sharing",Casual,False,Casual,"0 .. 20,000",88,2010-Winter
New Star Games Ltd,New Star Games Ltd,44100,Super Laser  Racer,Under $10,"Single-player, Multi-player, Steam Achievements, Partial controller support, Family Sharing","Action, Indie, Racing",False,"Indie, Racing, Action","20,000 .. 50,000",86,2010-Winter
Fulqrum Publishing,The Farm 51,46250,NecroVisioN: Lost Company,Under $10,"Single-player, Steam Cloud, Includes level editor, Family Sharing",Action,False,"Warfare, Gore, Historical/Old-Times, Casual, Third Person, Action, Horror/Mystery, Fantasy, Realistic/Sim, Sci-fi, Shooter, Single-Player, Real-Time, Multiplayer, First Person","100,000 .. 200,000",70,2010-Winter
Next Game,Awem Studio,38180,Cradle of Persia,Under $10,"Single-player, Family Sharing",Casual,False,"Puzzle, Casual","0 .. 20,000",90,2010-Winter
ZoopTEK,ZoopTEK,39900,Coniclysm,Under $10,"Single-player, Full controller support, Partial controller support, Family Sharing",Action,False,Action,"0 .. 20,000",45,2010-Spring
Rockstar Games,Rockstar North / Toronto,12220,Grand Theft Auto: Episodes from Liberty City,Free,"Single-player, Multi-player",Action,False,"Mature, Third Person, Action, Story-driven, Sandbox/Building, Unique-aspects, Realistic/Sim, Shooter, Single-Player, High-Quality, Adventure, Comedy, Multiplayer, Exploration, Racing","2,000,000 .. 5,000,000",73,2010-Spring
Capcom,Other Ocean Interactive,45730,Dark Void™ Zero,Under $10,"Single-player, Steam Achievements, Full controller support, Steam Leaderboards, Family Sharing","Action, Adventure",False,"Layed-Back, 2D, Historical/Old-Times, Action, Single-Player, High-Quality, Adventure","20,000 .. 50,000",47,2010-Spring
Nemesys Games,Nemesys Games,45400,Fortix,Under $1,"Single-player, Steam Achievements, Steam Trading Cards, Steam Leaderboards, Family Sharing",Indie,False,"Indie, Casual, 2D, Puzzle, Unique-aspects, Fantasy, Single-Player, Strategy","50,000 .. 100,000",92,2010-Spring
Telltale Games,Telltale Games,31220,Sam & Max: The Devil’s Playhouse ,Under $10,"Single-player, Family Sharing","Action, Adventure",False,"Casual, Action, Puzzle, Horror/Mystery, Single-Player, Comedy, Adventure, Story-driven","200,000 .. 500,000",90,2010-Spring
Red Chain Games Ltd.,Red Chain Games Ltd.,23150,Fluttabyes,Under $10,"Single-player, Steam Achievements, Family Sharing","Casual, Indie",False,"Indie, Casual, 2D, Historical/Old-Times, Action, Difficult, Puzzle, Realistic/Sim, Single-Player, High-Quality, Unique-Style","0 .. 20,000",68,2010-Spring
Big Fish Games,Big Fish Games,50940,Hidden Expedition: Titanic,Under $10,"Single-player, Multi-player, Family Sharing",Casual,False,"Puzzle, Casual","0 .. 20,000",86,2010-Spring
Big Fish Games,Big Fish Games,50920,Hidden Expedition: Amazon,Under $10,"Single-player, Family Sharing","Casual, Indie",False,"Indie, Puzzle, Casual","0 .. 20,000",66,2010-Spring
PlayFirst,Sarbakan,37340,Fitness Dash™,Under $10,"Single-player, Family Sharing",Casual,False,"Casual, Strategy","0 .. 20,000",78,2010-Spring
PlayFirst,PlayFirst,37390,Gemini Lost™,Under $10,"Single-player, Family Sharing",Casual,False,"Realistic/Sim, Casual","0 .. 20,000",97,2010-Spring
PlayFirst,Absolutist Ltd.,37310,DinerTown Detective Agency™,Under $10,"Single-player, Family Sharing",Casual,False,"Puzzle, Casual","0 .. 20,000",41,2010-Spring
PlayFirst,PlayFirst,49000,Hotel Dash™ Suite Success™,Under $10,"Single-player, Family Sharing",Casual,False,"Casual, Strategy","0 .. 20,000",80,2010-Spring
PlayFirst,PlayFirst,37330,Nightshift Legacy: The Jaguar's Eye™,Under $10,"Single-player, Family Sharing",Casual,False,"Puzzle, Casual","0 .. 20,000",75,2010-Spring
PlayFirst,PlayFirst,37320,The Nightshift Code™,Under $10,"Single-player, Family Sharing",Casual,False,"Puzzle, Casual","0 .. 20,000",42,2010-Spring
PlayFirst,PlayFirst,37370,TriJinx: A Kristine Kross Mystery™,Under $10,"Single-player, Family Sharing",Casual,False,Casual,"0 .. 20,000",71,2010-Spring
PlayFirst,PlayFirst,37380,Valerie Porter and the Scarlet Scandal™,Under $10,"Single-player, Family Sharing",Casual,False,"Puzzle, Casual","0 .. 20,000",53,2010-Spring
KONAMI,G5 Entertainment,19080,Biozone,Under $10,"Single-player, Family Sharing","Action, Adventure, Casual",False,"Adventure, Casual, Action","0 .. 20,000",18,2010-Summer
Muse Games,Muse Games,49800,Flight of the Icarus,Under $10,"Single-player, Family Sharing","Action, Indie",False,"Indie, Action","50,000 .. 100,000",40,2010-Spring
Puzzler,Ideas Pad,33650,Puzzler World,Under $10,"Single-player, Steam Achievements, Steam Leaderboards, Family Sharing",Casual,False,"Puzzle, Casual, Single-Player, Realistic/Sim","50,000 .. 100,000",88,2010-Spring
Kalypso Media Digital,Kokakiki,33660,Ziro,Under $10,"Single-player, Multi-player, Steam Achievements, Steam Leaderboards, Family Sharing","Casual, Indie",False,"Indie, Puzzle, Casual","0 .. 20,000",66,2010-Spring
SEGA,SEGA,34281,Altered Beast™,Under $1,"Single-player, Multi-player, Co-op, Partial controller support, Remote Play Together, Family Sharing",Action,False,"2D, Historical/Old-Times, Action, Fighting, Unique-aspects","0 .. 20,000",92,2010-Summer
SEGA,SEGA,34272,Comix Zone™,Under $1,"Single-player, Family Sharing",Action,False,"2D, Historical/Old-Times, Action, Difficult, Fighting, Single-Player, High-Quality, Unique-Style, Adventure","20,000 .. 50,000",100,2010-Summer
SEGA,D3T Limited,34270,SEGA Mega Drive and Genesis Classics,Free,"Single-player, Multi-player, Co-op, Co-op, Full controller support, VR Support, Steam Trading Cards, Steam Workshop, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","Action, Adventure, Casual, RPG",False,"Layed-Back, Casual, Historical/Old-Times, 2D, Action, Fighting, Multiplayer, Unique-aspects, RPG, Single-Player, High-Quality, Adventure, Co-op","1,000,000 .. 2,000,000",83,2010-Summer
SEGA,SEGA,34276,Golden Axe™,Under $1,"Single-player, Multi-player, Co-op, Partial controller support, Remote Play Together, Family Sharing",Action,False,"2D, Historical/Old-Times, Inclusivity, Action, Fighting, Unique-aspects, Fantasy, Single-Player, Unique-Style, Adventure, Co-op","20,000 .. 50,000",90,2010-Summer
SEGA,SEGA,34274,Ecco the Dolphin™,Under $1,"Single-player, Partial controller support, Family Sharing",Action,False,"2D, Historical/Old-Times, Action, Difficult, Horror/Mystery, Single-Player, High-Quality, Unique-Style, Adventure","20,000 .. 50,000",90,2010-Summer
SEGA,SEGA,34275,Gain Ground™,Under $1,"Single-player, Multi-player, Co-op, Partial controller support, Remote Play Together, Family Sharing",Strategy,False,Strategy,"50,000 .. 100,000",100,2010-Summer
SEGA,SEGA,34277,Shinobi™ III: Return of the Ninja Master,Under $1,"Single-player, Partial controller support, Family Sharing",Action,False,"Layed-Back, 2D, Historical/Old-Times, Action, Single-Player, High-Quality","50,000 .. 100,000",100,2010-Summer
SEGA,SEGA,34273,Crack Down™,Under $1,"Single-player, Multi-player, Co-op, Partial controller support, Remote Play Together, Family Sharing",Action,False,"Unique-aspects, Historical/Old-Times, Action","0 .. 20,000",100,2010-Summer
SEGA,SEGA,34280,VectorMan™,Under $1,"Single-player, Partial controller support, Family Sharing",Action,False,"Layed-Back, 2D, Historical/Old-Times, Action, Sci-fi","0 .. 20,000",88,2010-Summer
SEGA,SEGA,34282,Shadow Dancer™,Under $1,"Single-player, Partial controller support, Family Sharing",Action,False,"Layed-Back, 2D, Historical/Old-Times, Action, Single-Player","20,000 .. 50,000",94,2010-Summer
SEGA,SEGA,34279,Space Harrier™ II,Under $1,"Single-player, Partial controller support, Family Sharing",Action,False,"Unique-aspects, Historical/Old-Times, Action","0 .. 20,000",100,2010-Summer
Electronic Arts,EA - Maxis,24780,SimCity™ 4 Deluxe Edition,$10~$20,"Single-player, Family Sharing","Simulation, Strategy",False,"Casual, Historical/Old-Times, Sandbox/Building, Unique-aspects, Realistic/Sim, Single-Player, High-Quality, Multiplayer, Strategy","1,000,000 .. 2,000,000",81,2010-Summer
Strategy First,Dagger Games,46720,Dimensity,Under $10,"Single-player, Multi-player, Family Sharing",RPG,False,RPG,"0 .. 20,000",20,2010-Summer
Paradox Interactive,Paradox Development Studio,42980,Victoria I Complete,Under $10,"Multi-player, Family Sharing",Strategy,False,"Single-Player, Realistic/Sim, Strategy, Historical/Old-Times","100,000 .. 200,000",71,2010-08
N3V Games,N3V Games,24640,Trainz: Classic Cabon City,$10~$20,"Single-player, Family Sharing",Simulation,False,Realistic/Sim,"0 .. 20,000",34,2010-Autumn
Revolution Software Ltd,Revolution Software Ltd,57640,Broken Sword: Director's Cut,Under $10,"Single-player, Remote Play on Tablet, Family Sharing",Adventure,False,"Casual, 2D, Historical/Old-Times, Third Person, Puzzle, Horror/Mystery, Single-Player, High-Quality, Unique-Style, Comedy, Adventure, Story-driven","200,000 .. 500,000",93,2010-Autumn
OneBigGame,Zoë Mode,62100,Chime,Under $10,"Single-player, Steam Achievements, Partial controller support, Stats, Steam Leaderboards, Family Sharing",Casual,False,"Indie, Layed-Back, Casual, Puzzle, Single-Player, High-Quality","100,000 .. 200,000",93,2010-Autumn
Dedication Games,Dedication Games,46600,Swarm Arena,Under $10,"Single-player, Multi-player, Steam Achievements, Partial controller support, Steam Leaderboards, Family Sharing","Action, Casual, Indie",False,"Layed-Back, 2D, Casual, Action, PvE, PvP, Unique-aspects, Shooter, High-Quality, Sci-fi, Strategy","50,000 .. 100,000",71,2010-08
SEGA,SEGA,34314,Super Thunder Blade™,Under $1,"Single-player, Partial controller support, Family Sharing","Action, Simulation",False,"Realistic/Sim, Action","0 .. 20,000",80,2010-Autumn
SEGA,SEGA,34310,Galaxy Force II™,Under $1,"Single-player, Partial controller support, Family Sharing",Action,False,"Shooter, Action","0 .. 20,000",83,2010-Autumn
exosyphen studios,exosyphen studios,70100,Hacker Evolution,Under $1,"Single-player, Steam Trading Cards, Family Sharing",Simulation,False,"Indie, 2D, Action, Difficult, Puzzle, Realistic/Sim, Single-Player, Unique-Style, Comedy, Sci-fi, Strategy, Exploration","100,000 .. 200,000",65,2010-Autumn
exosyphen studios,exosyphen studios,70110,Hacker Evolution: Untold,Under $1,"Single-player, Steam Trading Cards, Family Sharing","Indie, Simulation",False,"Indie, Realistic/Sim, Single-Player","200,000 .. 500,000",59,2010-Autumn
Subsoap,Subsoap,38600,Faerie Solitaire,$10~$20,"Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","Casual, Indie, RPG",False,"Indie, Layed-Back, Casual, Puzzle, Fantasy, RPG, High-Quality, Single-Player, Unique-Style, Adventure, Sci-fi","200,000 .. 500,000",90,2010-Autumn
SEGA,SEGA,34284,Bonanza Bros.™,Under $1,"Single-player, Multi-player, Co-op, Partial controller support, Remote Play Together, Family Sharing",Action,False,"Rogue, Co-op, Historical/Old-Times, Action","0 .. 20,000",100,2010-Autumn
Blind Mind Studios,Blind Mind Studios,70900,Star Ruler,Under $10,"Single-player, Multi-player, Family Sharing","Indie, Strategy",False,"Indie, Multiplayer, Single-Player, High-Quality, Real-Time, Sci-fi, Strategy","100,000 .. 200,000",81,2010-Autumn
