publisher,developers,id,app_name,price,specs,genres,early_access,tags,owners,review_score,release_date
Accelerate Games,MumboJumbo,15920,Luxor 2,Under $10,"Single-player, Family Sharing",Casual,FALSE,"Puzzle, Casual","0 .. 20,000",41,2008-Autumn
Inventive Dingo,Inventive Dingo,18600,Mayhem Intergalactic,Under $10,"Single-player, Multi-player, PvP, Online PvP, LAN PvP, Steam Achievements, Family Sharing","Indie, Strategy",FALSE,"Indie, Warfare, 2D, Casual, Historical/Old-Times, Multiplayer, PvP, Turn-based, Unique-aspects, Sci-fi, Single-Player, High-Quality, Real-Time, Other, Strategy","50,000 .. 100,000",51,2009-Autumn
Tale of Tales,Tale of Tales,27020,The Graveyard,Under $10,"Single-player, Family Sharing","Indie, Simulation",FALSE,"Indie, Casual, Inclusivity, Horror/Mystery, Unique-aspects, Realistic/Sim, Single-Player, High-Quality, Unique-Style, Comedy","20,000 .. 50,000",60,2009-Autumn
Llamasoft LTD,Llamasoft LTD,27800,Space Giraffe,Under $10,"Single-player, Family Sharing",Indie,FALSE,"Indie, Action, Unique-aspects, Shooter, Other","20,000 .. 50,000",72,2009-Autumn
InnoGlow,InnoGlow,9850,Codename: Panzers - Cold War,$10~$20,"Single-player, Multi-player, Co-op, Family Sharing","Simulation, Strategy",FALSE,"Warfare, Historical/Old-Times, Realistic/Sim, Single-Player, High-Quality, Real-Time, Multiplayer, Strategy","50,000 .. 100,000",66,2009-Autumn
Last Day of Work,Last Day of Work,16200,Virtual Families,Under $10,"Single-player, Family Sharing","Casual, Simulation",FALSE,"Realistic/Sim, Casual","0 .. 20,000",84,2009-Autumn
NovaLogic,NovaLogic,32710,Armored Fist 3,Under $10,"Single-player, Multi-player, Co-op, Family Sharing",Simulation,FALSE,Realistic/Sim,"0 .. 20,000",75,2009-Autumn
NovaLogic,NovaLogic,32740,MiG-29 Fulcrum,Under $10,"Single-player, Multi-player, Family Sharing",Simulation,FALSE,"Realistic/Sim, Unique-Style","0 .. 20,000",87,2009-Autumn
Digital Eel,Digital Eel,35800,BRAINPIPE: A Plunge to Unhumanity,Free,"Single-player, Partial controller support","Casual, Indie",FALSE,"Indie, Casual","20,000 .. 50,000",86,2009-Autumn
LucasArts,LucasArts,6010,Indiana Jones® and the Fate of Atlantis™,Under $10,"Single-player, Steam Cloud, Family Sharing",Adventure,FALSE,"Casual, Historical/Old-Times, 2D, Action, Puzzle, Unique-aspects, Exploration, Single-Player, High-Quality, Comedy, Adventure, Story-driven","200,000 .. 500,000",94,2009-Autumn
LucasArts,LucasArts,32310,Indiana Jones® and the Last Crusade™,Under $10,"Single-player, Family Sharing",Adventure,FALSE,"Unique-aspects, Adventure, Casual, Historical/Old-Times","20,000 .. 50,000",79,2009-Autumn
Game Factory Interactive,GFI Russia,35300,Warfare,Under $10,"Single-player, Family Sharing",Strategy,FALSE,"Warfare, Strategy, Real-Time","50,000 .. 100,000",83,2009-Autumn
Activision,Sierra,10100,King's Quest™ Collection,$10~$20,"Single-player, Family Sharing",Adventure,FALSE,"Casual, Historical/Old-Times, 2D, Inclusivity, Puzzle, Unique-aspects, Fantasy, Single-Player, Adventure","100,000 .. 200,000",86,2009-Autumn
Activision,Sierra,10110,Space Quest™ Collection,Under $10,"Single-player, Family Sharing",Adventure,FALSE,"Casual, Historical/Old-Times, 2D, Difficult, Single-Player, High-Quality, Adventure, Comedy, Sci-fi, Story-driven","100,000 .. 200,000",83,2009-Autumn
Activision,Artech Studios,10120,Aces of the Galaxy™,Under $10,"Single-player, Family Sharing","Action, Casual",FALSE,"Unique-aspects, Sci-fi, Casual, Action","0 .. 20,000",45,2009-Autumn
Kalypso Media Digital,PopTop Software,33520,Tropico Reloaded,Under $10,"Single-player, Family Sharing","Simulation, Strategy",FALSE,"Historical/Old-Times, Sandbox/Building, Realistic/Sim, Single-Player, High-Quality, Real-Time, Comedy, Strategy","200,000 .. 500,000",87,2009-Autumn
"PopCap Games, Inc.",SpinTop Games,3610,Mystery P.I. - Lost in Los Angeles,Under $10,"Single-player, Family Sharing",Casual,FALSE,"Puzzle, Casual","20,000 .. 50,000",79,2009-Autumn
Sakari Games,Sakari Games,36000,Foreign Legion: Buckets of Blood,Under $10,"Single-player, Steam Achievements, Partial controller support, Steam Cloud, Family Sharing","Action, Indie",FALSE,"Indie, Casual, Gore, Third Person, Action, Shooter, Unique-Style, Comedy","100,000 .. 200,000",61,2009-Autumn
LucasArts,BioWare,32370,STAR WARS™ Knights of the Old Republic™,Under $10,"Single-player, Steam Cloud, Family Sharing","Adventure, RPG",FALSE,"Historical/Old-Times, Inclusivity, Third Person, Action, Turn-based, Unique-aspects, Fantasy, Exploration, Single-Player, RPG, High-Quality, Adventure, Sci-fi, Story-driven","1,000,000 .. 2,000,000",91,2009-Autumn
Interplay Inc.,Xatrix Entertainment,38430,Kingpin — Life of Crime,Under $10,"Single-player, Multi-player, Family Sharing",Action,FALSE,"Gore, Historical/Old-Times, Action, Single-Player, Shooter, High-Quality, Multiplayer, First Person","20,000 .. 50,000",79,2009-Autumn
Next Game,Next Game,38000,Mahjong Quest Collection,Under $10,"Single-player, Family Sharing",Casual,FALSE,"Puzzle, Casual","0 .. 20,000",94,2009-Autumn
Fulqrum Publishing,Unicorn Games Studio,34420,XIII Century – Gold Edition,Under $10,"Single-player, Multi-player, Steam Cloud, Includes level editor, Family Sharing",Strategy,FALSE,"Strategy, Historical/Old-Times, Real-Time","100,000 .. 200,000",54,2009-Autumn
HandyGames,Blue Fang,43100,World of Zoo,$10~$20,"Single-player, Family Sharing",Simulation,FALSE,"Realistic/Sim, Casual, Single-Player, Unique-Style","50,000 .. 100,000",79,2009-Autumn
Vectorpark,Vectorpark,37600,Windosill,Under $10,"Single-player, Family Sharing","Adventure, Casual, Indie",FALSE,"Indie, Casual, Puzzle, Unique-aspects, Single-Player, High-Quality, Unique-Style, Adventure","50,000 .. 100,000",91,2009-Autumn
Accelerate Games,MumboJumbo,32140,Midnight Mysteries,Under $10,"Single-player, Family Sharing","Adventure, Casual",FALSE,"Adventure, Casual, Puzzle","50,000 .. 100,000",68,2009-Autumn
NovaLogic,NovaLogic,32770,Joint Operations: Combined Arms Gold,$10~$20,"Single-player, Multi-player, Co-op, Family Sharing",Action,FALSE,"Warfare, Action, Shooter, Single-Player, Multiplayer, First Person, Co-op","20,000 .. 50,000",87,2009-Autumn
PlayFirst,PlayFirst,37300,DinerTown Tycoon,Under $10,"Single-player, Family Sharing",Simulation,FALSE,"Realistic/Sim, Casual, Strategy","0 .. 20,000",56,2009-Autumn
Square Enix,Honeyslug,35070,Flora's Fruit Farm,Under $10,"Single-player, Family Sharing",Casual,FALSE,Casual,"20,000 .. 50,000",52,2009-Autumn
Electronic Arts,EA Los Angeles,24800,Command & Conquer: Red Alert 3 - Uprising,Under $10,"Single-player, Family Sharing",Strategy,FALSE,"Warfare, Historical/Old-Times, Action, Sandbox/Building, Sci-fi, Single-Player, High-Quality, Real-Time, Multiplayer, Strategy, Co-op","500,000 .. 1,000,000",84,2009-Autumn
FireFly Studios,FireFly Studios,40960,The Stronghold Collection,$10~$20,"Single-player, Multi-player, Family Sharing","Simulation, Strategy",FALSE,"Warfare, Historical/Old-Times, Sandbox/Building, Unique-aspects, Realistic/Sim, Real-Time, Strategy, Exploration","200,000 .. 500,000",88,2009-Autumn
Ravenscourt,Animation Arts,40330,Secret Files: Tunguska,Under $1,"Single-player, Family Sharing",Adventure,FALSE,"Casual, Inclusivity, Puzzle, Horror/Mystery, Single-Player, Adventure","100,000 .. 200,000",86,2009-Autumn
KranX Productions,Konstantin Koshutin,41100,Hammerfight,Free,Single-player,"Action, Indie",FALSE,"Indie, 2D, Action, Difficult, Fighting, Multiplayer, Realistic/Sim, Single-Player, Other, Story-driven","200,000 .. 500,000",71,2009-Autumn
Wargaming.net,Wargaming.net,34640,Massive Assault: Phantom Renaissance,Under $10,"Single-player, Family Sharing",Strategy,FALSE,"Strategy, Turn-based","0 .. 20,000",86,2009-Autumn
Yullaby,Yullaby,37500,Magnetis ,Under $10,"Single-player, Multi-player, Co-op, Steam Achievements, Steam Leaderboards, Family Sharing","Indie, Casual",FALSE,"Indie, Puzzle, Casual","0 .. 20,000",80,2009-Autumn
Paradox Interactive,Crystal Empire Games,42810,For The Glory: A Europa Universalis Game,Under $10,"Single-player, Multi-player, Family Sharing",Strategy,FALSE,"Strategy, Historical/Old-Times","50,000 .. 100,000",70,2009-Autumn
Codemasters,Triumph Studios,12710,Overlord™: Raising Hell,Under $10,"Single-player, Partial controller support, Family Sharing",RPG,FALSE,"Third Person, Action, Story-driven, Puzzle, Fighting, Fantasy, Single-Player, RPG, High-Quality, Real-Time, Comedy, Adventure, Strategy, Exploration","500,000 .. 1,000,000",93,2008-Autumn
KranX Productions,KranX Productions,29120,Yumsters 2: Around the World,Under $10,"Single-player, Family Sharing","Indie, Casual",FALSE,"Indie, Casual","20,000 .. 50,000",65,2009-Autumn
Next Game,Hip Soft,38080,Build-A-Lot,Under $10,"Single-player, Family Sharing",Simulation,FALSE,"Sandbox/Building, Realistic/Sim, Strategy","0 .. 20,000",93,2009-Autumn
Next Game,Hip Soft,38090,Build-A-Lot 2: Town of the Year,Under $10,"Single-player, Family Sharing",Simulation,FALSE,Realistic/Sim,"0 .. 20,000",100,2009-Autumn
Next Game,Hip Soft,38100,Build-A-Lot 3: Passport to Europe,Under $10,"Single-player, Family Sharing",Simulation,FALSE,"Sandbox/Building, Realistic/Sim","0 .. 20,000",86,2009-Autumn
Next Game,Hip Soft,38110,Build-A-Lot 4: Power Source,Under $10,"Single-player, Family Sharing",Simulation,FALSE,"Realistic/Sim, Strategy","0 .. 20,000",71,2009-Autumn
Octoshark Studios,Octoshark Studios,17570,"Pirates, Vikings, and Knights II",Free,"Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Workshop, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes level editor","Action, Free to Play, Indie",FALSE,"Indie, Historical/Old-Times, Action, Difficult, Fighting, PvP, Unique-aspects, Single-Player, Shooter, Comedy, Multiplayer, First Person","1,000,000 .. 2,000,000",87,2010-Autumn
Next Game,Alawar,38130,Farm Frenzy 2,Under $10,"Single-player, Family Sharing",Casual,FALSE,"Casual, Strategy","0 .. 20,000",97,2010-Autumn
Next Game,Alawar,38160,Farm Frenzy 3: American Pie,Under $10,"Single-player, Family Sharing",Casual,FALSE,Casual,"0 .. 20,000",100,2010-Autumn
Next Game,Alawar,38150,Farm Frenzy 3,Under $10,"Single-player, Family Sharing",Casual,FALSE,"Puzzle, Casual, Strategy","20,000 .. 50,000",95,2010-Autumn
Next Game,Alawar,38120,Farm Frenzy,Under $10,"Single-player, Family Sharing",Casual,FALSE,"Casual, Strategy","0 .. 20,000",96,2010-Autumn
Next Game,Alawar,38140,Farm Frenzy: Pizza Party,Under $10,"Single-player, Family Sharing",Casual,FALSE,Casual,"0 .. 20,000",88,2010-Autumn
New Star Games Ltd,New Star Games Ltd,44100,Super Laser  Racer,Under $10,"Single-player, Multi-player, Steam Achievements, Partial controller support, Family Sharing","Action, Indie, Racing",FALSE,"Indie, Racing, Action","20,000 .. 50,000",86,2010-Autumn
Fulqrum Publishing,The Farm 51,46250,NecroVisioN: Lost Company,Under $10,"Single-player, Steam Cloud, Includes level editor, Family Sharing",Action,FALSE,"Warfare, Gore, Historical/Old-Times, Casual, Third Person, Action, Horror/Mystery, Fantasy, Realistic/Sim, Sci-fi, Shooter, Single-Player, Real-Time, Multiplayer, First Person","100,000 .. 200,000",70,2010-Autumn
Next Game,Awem Studio,38180,Cradle of Persia,Under $10,"Single-player, Family Sharing",Casual,FALSE,"Puzzle, Casual","0 .. 20,000",90,2010-Autumn
ZoopTEK,ZoopTEK,39900,Coniclysm,Under $10,"Single-player, Full controller support, Partial controller support, Family Sharing",Action,FALSE,Action,"0 .. 20,000",45,2010-Autumn
Rockstar Games,Rockstar North / Toronto,12220,Grand Theft Auto: Episodes from Liberty City,Free,"Single-player, Multi-player",Action,FALSE,"Mature, Third Person, Action, Story-driven, Sandbox/Building, Unique-aspects, Realistic/Sim, Shooter, Single-Player, High-Quality, Adventure, Comedy, Multiplayer, Exploration, Racing","2,000,000 .. 5,000,000",73,2010-Autumn
Capcom,Other Ocean Interactive,45730,Dark Void™ Zero,Under $10,"Single-player, Steam Achievements, Full controller support, Steam Leaderboards, Family Sharing","Action, Adventure",FALSE,"Layed-Back, 2D, Historical/Old-Times, Action, Single-Player, High-Quality, Adventure","20,000 .. 50,000",47,2010-Autumn
Nemesys Games,Nemesys Games,45400,Fortix,Under $1,"Single-player, Steam Achievements, Steam Trading Cards, Steam Leaderboards, Family Sharing",Indie,FALSE,"Indie, Casual, 2D, Puzzle, Unique-aspects, Fantasy, Single-Player, Strategy","50,000 .. 100,000",92,2010-Autumn
Telltale Games,Telltale Games,31220,Sam & Max: The Devil’s Playhouse ,Under $10,"Single-player, Family Sharing","Action, Adventure",FALSE,"Casual, Action, Puzzle, Horror/Mystery, Single-Player, Comedy, Adventure, Story-driven","200,000 .. 500,000",90,2010-Autumn
Red Chain Games Ltd.,Red Chain Games Ltd.,23150,Fluttabyes,Under $10,"Single-player, Steam Achievements, Family Sharing","Casual, Indie",FALSE,"Indie, Casual, 2D, Historical/Old-Times, Action, Difficult, Puzzle, Realistic/Sim, Single-Player, High-Quality, Unique-Style","0 .. 20,000",68,2010-Autumn
Big Fish Games,Big Fish Games,50940,Hidden Expedition: Titanic,Under $10,"Single-player, Multi-player, Family Sharing",Casual,FALSE,"Puzzle, Casual","0 .. 20,000",86,2010-Autumn
Big Fish Games,Big Fish Games,50920,Hidden Expedition: Amazon,Under $10,"Single-player, Family Sharing","Casual, Indie",FALSE,"Indie, Puzzle, Casual","0 .. 20,000",66,2010-Autumn
PlayFirst,Sarbakan,37340,Fitness Dash™,Under $10,"Single-player, Family Sharing",Casual,FALSE,"Casual, Strategy","0 .. 20,000",78,2010-Autumn
PlayFirst,PlayFirst,37390,Gemini Lost™,Under $10,"Single-player, Family Sharing",Casual,FALSE,"Realistic/Sim, Casual","0 .. 20,000",97,2010-Autumn
PlayFirst,Absolutist Ltd.,37310,DinerTown Detective Agency™,Under $10,"Single-player, Family Sharing",Casual,FALSE,"Puzzle, Casual","0 .. 20,000",41,2010-Autumn
PlayFirst,PlayFirst,49000,Hotel Dash™ Suite Success™,Under $10,"Single-player, Family Sharing",Casual,FALSE,"Casual, Strategy","0 .. 20,000",80,2010-Autumn
PlayFirst,PlayFirst,37330,Nightshift Legacy: The Jaguar's Eye™,Under $10,"Single-player, Family Sharing",Casual,FALSE,"Puzzle, Casual","0 .. 20,000",75,2010-Autumn
PlayFirst,PlayFirst,37320,The Nightshift Code™,Under $10,"Single-player, Family Sharing",Casual,FALSE,"Puzzle, Casual","0 .. 20,000",42,2010-Autumn
PlayFirst,PlayFirst,37370,TriJinx: A Kristine Kross Mystery™,Under $10,"Single-player, Family Sharing",Casual,FALSE,Casual,"0 .. 20,000",71,2010-Autumn
PlayFirst,PlayFirst,37380,Valerie Porter and the Scarlet Scandal™,Under $10,"Single-player, Family Sharing",Casual,FALSE,"Puzzle, Casual","0 .. 20,000",53,2010-Autumn
KONAMI,G5 Entertainment,19080,Biozone,Under $10,"Single-player, Family Sharing","Action, Adventure, Casual",FALSE,"Adventure, Casual, Action","0 .. 20,000",18,2010-Autumn
Muse Games,Muse Games,49800,Flight of the Icarus,Under $10,"Single-player, Family Sharing","Action, Indie",FALSE,"Indie, Action","50,000 .. 100,000",40,2010-Autumn
Puzzler,Ideas Pad,33650,Puzzler World,Under $10,"Single-player, Steam Achievements, Steam Leaderboards, Family Sharing",Casual,FALSE,"Puzzle, Casual, Single-Player, Realistic/Sim","50,000 .. 100,000",88,2010-Autumn
Kalypso Media Digital,Kokakiki,33660,Ziro,Under $10,"Single-player, Multi-player, Steam Achievements, Steam Leaderboards, Family Sharing","Casual, Indie",FALSE,"Indie, Puzzle, Casual","0 .. 20,000",66,2010-Autumn
SEGA,SEGA,34281,Altered Beast™,Under $1,"Single-player, Multi-player, Co-op, Partial controller support, Remote Play Together, Family Sharing",Action,FALSE,"2D, Historical/Old-Times, Action, Fighting, Unique-aspects","0 .. 20,000",92,2010-Autumn
SEGA,SEGA,34272,Comix Zone™,Under $1,"Single-player, Family Sharing",Action,FALSE,"2D, Historical/Old-Times, Action, Difficult, Fighting, Single-Player, High-Quality, Unique-Style, Adventure","20,000 .. 50,000",100,2010-Autumn
SEGA,D3T Limited,34270,SEGA Mega Drive and Genesis Classics,Free,"Single-player, Multi-player, Co-op, Co-op, Full controller support, VR Support, Steam Trading Cards, Steam Workshop, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","Action, Adventure, Casual, RPG",FALSE,"Layed-Back, Casual, Historical/Old-Times, 2D, Action, Fighting, Multiplayer, Unique-aspects, RPG, Single-Player, High-Quality, Adventure, Co-op","1,000,000 .. 2,000,000",83,2010-Autumn
SEGA,SEGA,34276,Golden Axe™,Under $1,"Single-player, Multi-player, Co-op, Partial controller support, Remote Play Together, Family Sharing",Action,FALSE,"2D, Historical/Old-Times, Inclusivity, Action, Fighting, Unique-aspects, Fantasy, Single-Player, Unique-Style, Adventure, Co-op","20,000 .. 50,000",90,2010-Autumn
SEGA,SEGA,34274,Ecco the Dolphin™,Under $1,"Single-player, Partial controller support, Family Sharing",Action,FALSE,"2D, Historical/Old-Times, Action, Difficult, Horror/Mystery, Single-Player, High-Quality, Unique-Style, Adventure","20,000 .. 50,000",90,2010-Autumn
SEGA,SEGA,34275,Gain Ground™,Under $1,"Single-player, Multi-player, Co-op, Partial controller support, Remote Play Together, Family Sharing",Strategy,FALSE,Strategy,"50,000 .. 100,000",100,2010-Autumn
SEGA,SEGA,34277,Shinobi™ III: Return of the Ninja Master,Under $1,"Single-player, Partial controller support, Family Sharing",Action,FALSE,"Layed-Back, 2D, Historical/Old-Times, Action, Single-Player, High-Quality","50,000 .. 100,000",100,2010-Autumn
SEGA,SEGA,34273,Crack Down™,Under $1,"Single-player, Multi-player, Co-op, Partial controller support, Remote Play Together, Family Sharing",Action,FALSE,"Unique-aspects, Historical/Old-Times, Action","0 .. 20,000",100,2010-Autumn
SEGA,SEGA,34280,VectorMan™,Under $1,"Single-player, Partial controller support, Family Sharing",Action,FALSE,"Layed-Back, 2D, Historical/Old-Times, Action, Sci-fi","0 .. 20,000",88,2010-Autumn
SEGA,SEGA,34282,Shadow Dancer™,Under $1,"Single-player, Partial controller support, Family Sharing",Action,FALSE,"Layed-Back, 2D, Historical/Old-Times, Action, Single-Player","20,000 .. 50,000",94,2010-Autumn
SEGA,SEGA,34279,Space Harrier™ II,Under $1,"Single-player, Partial controller support, Family Sharing",Action,FALSE,"Unique-aspects, Historical/Old-Times, Action","0 .. 20,000",100,2010-Autumn
Electronic Arts,EA - Maxis,24780,SimCity™ 4 Deluxe Edition,$10~$20,"Single-player, Family Sharing","Simulation, Strategy",FALSE,"Casual, Historical/Old-Times, Sandbox/Building, Unique-aspects, Realistic/Sim, Single-Player, High-Quality, Multiplayer, Strategy","1,000,000 .. 2,000,000",81,2010-Autumn
Strategy First,Dagger Games,46720,Dimensity,Under $10,"Single-player, Multi-player, Family Sharing",RPG,FALSE,RPG,"0 .. 20,000",20,2010-Autumn
Paradox Interactive,Paradox Development Studio,42980,Victoria I Complete,Under $10,"Multi-player, Family Sharing",Strategy,FALSE,"Single-Player, Realistic/Sim, Strategy, Historical/Old-Times","100,000 .. 200,000",71,2010-Autumn
N3V Games,N3V Games,24640,Trainz: Classic Cabon City,$10~$20,"Single-player, Family Sharing",Simulation,FALSE,Realistic/Sim,"0 .. 20,000",34,2010-Autumn
Revolution Software Ltd,Revolution Software Ltd,57640,Broken Sword: Director's Cut,Under $10,"Single-player, Remote Play on Tablet, Family Sharing",Adventure,FALSE,"Casual, 2D, Historical/Old-Times, Third Person, Puzzle, Horror/Mystery, Single-Player, High-Quality, Unique-Style, Comedy, Adventure, Story-driven","200,000 .. 500,000",93,2010-Autumn
OneBigGame,Zoë Mode,62100,Chime,Under $10,"Single-player, Steam Achievements, Partial controller support, Stats, Steam Leaderboards, Family Sharing",Casual,FALSE,"Indie, Layed-Back, Casual, Puzzle, Single-Player, High-Quality","100,000 .. 200,000",93,2010-Autumn
Dedication Games,Dedication Games,46600,Swarm Arena,Under $10,"Single-player, Multi-player, Steam Achievements, Partial controller support, Steam Leaderboards, Family Sharing","Action, Casual, Indie",FALSE,"Layed-Back, 2D, Casual, Action, PvE, PvP, Unique-aspects, Shooter, High-Quality, Sci-fi, Strategy","50,000 .. 100,000",71,2010-Autumn
SEGA,SEGA,34314,Super Thunder Blade™,Under $1,"Single-player, Partial controller support, Family Sharing","Action, Simulation",FALSE,"Realistic/Sim, Action","0 .. 20,000",80,2010-Autumn
SEGA,SEGA,34310,Galaxy Force II™,Under $1,"Single-player, Partial controller support, Family Sharing",Action,FALSE,"Shooter, Action","0 .. 20,000",83,2010-Autumn
exosyphen studios,exosyphen studios,70100,Hacker Evolution,Under $1,"Single-player, Steam Trading Cards, Family Sharing",Simulation,FALSE,"Indie, 2D, Action, Difficult, Puzzle, Realistic/Sim, Single-Player, Unique-Style, Comedy, Sci-fi, Strategy, Exploration","100,000 .. 200,000",65,2010-Autumn
exosyphen studios,exosyphen studios,70110,Hacker Evolution: Untold,Under $1,"Single-player, Steam Trading Cards, Family Sharing","Indie, Simulation",FALSE,"Indie, Realistic/Sim, Single-Player","200,000 .. 500,000",59,2010-Autumn
